"","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price"
"209","Chennai",2012,62300,"Petrol","Manual","Second",15.1,1196,73,5,5.01,2.85541446208113
"210","Delhi",2014,51200,"Petrol","Manual","First",15.1,1196,73,5,4.56,3.94681318681319
"213","Delhi",2017,14300,"Diesel","Automatic","First",28.4,1248,73.75,5,9.11,7.33944099378882
"214","Coimbatore",2014,64917,"Diesel","Manual","First",28.4,1248,73.75,5,8.95,5.839
"248","Jaipur",2018,27000,"Diesel","Manual","First",24,1186,73.97,5,7.79,5.19839285714286
"249","Hyderabad",2017,25678,"Diesel","Manual","First",24,1186,73.97,5,7.9,5.19839285714286
"250","Coimbatore",2019,56371,"Diesel","Manual","First",24,1186,73.97,5,8.28,5.19839285714286
"251","Kolkata",2015,39000,"Diesel","Manual","First",25.4,1186,73.97,5,8.85,5.839
"271","Hyderabad",2013,99000,"Diesel","Manual","First",28.4,1248,74,5,8.44,5.839
"272","Ahmedabad",2016,67000,"Diesel","Manual","First",28.4,1248,74,5,7.67,5.19839285714286
"284","Kolkata",2017,22000,"Diesel","Manual","First",22.95,1248,74,5,7.94,5.19839285714286
"285","Jaipur",2018,45000,"Diesel","Manual","First",22.95,1248,74,5,7.94,5.19839285714286
"298","Kolkata",2014,61000,"Diesel","Manual","First",19.5,1248,75,5,8.65,5.839
"308","Coimbatore",2017,47052,"Petrol","Automatic","First",19.15,1198,75.94,5,9.51,7.33944099378882
"313","Delhi",2017,17700,"Diesel","Manual","First",25.32,1198,77,5,8.91,7.33944099378882
"319","Coimbatore",2015,46950,"Petrol","Manual","First",17.71,1197,78.8,5,8.23,5.19839285714286
"355","Mumbai",2018,12500,"Petrol","Automatic","First",22,1197,81.8,5,9.94,7.33944099378882
"356","Mumbai",2010,40000,"Petrol","Manual","First",22,1197,81.8,5,7.67,2.85541446208113
"357","Kolkata",2017,10500,"Petrol","Manual","First",20.89,1197,81.8,5,7.43,5.19839285714286
"358","Pune",2017,8000,"Petrol","Manual","First",20.89,1197,81.8,5,7.87,5.19839285714286
"359","Hyderabad",2017,20000,"Petrol","Automatic","First",20.89,1197,81.8,5,7.21,5.19839285714286
"360","Mumbai",2017,25384,"Petrol","Manual","First",20.89,1197,81.8,5,6.41,5.19839285714286
"366","Chennai",2018,9000,"Petrol","Manual","First",21.5,1197,81.8,5,5.79,5.19839285714286
"367","Kochi",2019,17431,"Petrol","Manual","First",21.5,1197,81.8,5,5.79,5.19839285714286
"384","Hyderabad",2015,48000,"Petrol","Manual","First",18.6,1197,81.86,5,9.45,5.839
"385","Kochi",2018,23955,"Petrol","Manual","First",18.6,1197,81.86,5,7.08,5.19839285714286
"388","Jaipur",2015,25043,"Petrol","Manual","First",18.9,1197,81.86,5,6.54,5.19839285714286
"389","Hyderabad",2013,42500,"Petrol","Manual","First",18.9,1197,81.86,5,7.19,4.12156146179402
"390","Kochi",2019,34649,"Petrol","Automatic","First",18.9,1197,81.86,5,7.96,5.19839285714286
"395","Kolkata",2017,5044,"Petrol","Manual","First",20.14,1197,81.86,5,6.41,5.19839285714286
"416","Chennai",2018,5600,"Petrol","Manual","First",18.15,1198,82,5,6.55,5.19839285714286
"427","Kochi",2017,27610,"Petrol","Manual","First",21.4,1197,83.1,5,8.8,7.33944099378882
"430","Kochi",2017,32352,"Petrol","Manual","First",21.4,1197,83.1,5,7.12,5.19839285714286
"432","Ahmedabad",2017,21701,"Petrol","Automatic","First",21.4,1197,83.1,5,8.57,7.33944099378882
"446","Jaipur",2018,1001,"Diesel","Manual","First",19.87,1461,83.8,5,13.08,7.33944099378882
"447","Kochi",2017,30631,"Petrol","Manual","First",23.84,1199,84,5,5.56,5.19839285714286
"448","Kolkata",2018,1520,"Petrol","Manual","First",23.84,1199,84,5,5.71,5.19839285714286
"449","Kolkata",2016,57200,"Petrol","Manual","First",23.84,1199,84,5,6.24,5.19839285714286
"450","Bangalore",2016,30010,"Petrol","Manual","First",23.84,1199,84,5,6.46,5.19839285714286
"451","Mumbai",2017,14000,"Petrol","Automatic","First",23.84,1199,84,5,6.3,5.19839285714286
"486","Chennai",2012,27000,"Petrol","Manual","First",18.5,1198,86.8,5,6.15,2.85541446208113
"487","Coimbatore",2013,71601,"Petrol","Manual","First",18.5,1198,86.8,5,6.38,4.12156146179402
"488","Kolkata",2011,38000,"Petrol","Manual","First",18.5,1198,86.8,5,5.89,2.85541446208113
"489","Hyderabad",2012,41000,"Petrol","Manual","First",18.5,1198,86.8,5,7.08,2.85541446208113
"490","Kochi",2014,43814,"Petrol","Manual","First",18.5,1198,86.8,5,6.63,4.12156146179402
"518","Bangalore",2016,46000,"Diesel","Manual","First",24.3,1248,88.5,5,9.42,6.55229452054795
"523","Hyderabad",2016,70687,"Diesel","Manual","First",24.3,1248,88.5,5,11.02,8.52451807228916
"524","Pune",2017,35000,"Diesel","Manual","First",24.3,1248,88.5,5,10.65,6.55229452054795
"525","Hyderabad",2016,70746,"Diesel","Manual","First",24.3,1248,88.5,5,11.02,8.52451807228916
"526","Kochi",2017,21380,"Diesel","Manual","First",24.3,1248,88.5,5,10.57,6.55229452054795
"527","Coimbatore",2018,57804,"Diesel","Automatic","First",24.3,1248,88.5,5,11.59,8.52451807228916
"528","Mumbai",2018,3800,"Diesel","Automatic","First",24.3,1248,88.5,5,12.46,8.52451807228916
"529","Delhi",2017,17660,"Diesel","Manual","First",24.3,1248,88.5,5,11.75,8.52451807228916
"539","Pune",2019,1015,"Petrol","Automatic","First",19,1199,88.7,5,10.55,6.55229452054795
"545","Kolkata",2017,59000,"Petrol","Manual","First",17.57,1193,88.7,5,6.59,6.55229452054795
"560","Chennai",2015,62083,"Diesel","Manual","First",21.19,1396,88.76,5,11.48,6.85576923076923
"598","Kochi",2016,32835,"Diesel","Manual","First",20.5,1248,91.7,5,8.6,6.55229452054795
"599","Kolkata",2019,1000,"Diesel","Manual","First",20.5,1248,91.72,5,9.26,6.55229452054795
"602","Coimbatore",2015,96012,"Diesel","Manual","First",14.95,2489,93.7,7,11.91,6.85576923076923
"632","Hyderabad",2014,63000,"Diesel","Manual","First",25.6,1498,98.6,5,13.33,6.41109677419355
"638","Kochi",2019,15053,"Diesel","Manual","First",25.5,1498,98.6,5,12.05,8.52451807228916
"641","Hyderabad",2017,23000,"Diesel","Manual","First",21.9,1498,98.6,7,14.13,9.575625
"642","Bangalore",2016,34820,"Diesel","Manual","First",21.9,1498,98.6,7,15.59,9.575625
"643","Coimbatore",2017,45353,"Diesel","Manual","First",21.9,1498,98.6,7,15.59,9.575625
"650","Kolkata",2018,3013,"Diesel","Manual","First",24.4,1498,98.63,5,9.12,6.55229452054795
"653","Chennai",2015,67630,"Diesel","Manual","First",23,1498,98.96,5,11.48,6.85576923076923
"654","Ahmedabad",2017,28000,"Diesel","Manual","First",23,1498,98.96,5,11.2,8.52451807228916
"698","Delhi",2016,23582,"Petrol","Manual","Second",19.34,1462,103,7,9.54,6.55229452054795
"709","Mumbai",2011,34948,"Petrol","Manual","First",16.09,1598,103.5,5,10.36,3.04814049586777
"713","Jaipur",2018,4000,"Petrol","Manual","First",15.41,1598,103.52,5,11.89,8.52451807228916
"714","Mumbai",2017,13500,"Petrol","Automatic","First",14.84,1598,103.52,5,14.95,11.7938461538461
"739","Delhi",2016,11000,"Diesel","Manual","First",16.55,2498,105,6,11.14,8.52451807228916
"749","Jaipur",2017,50000,"Diesel","Automatic","Second",21.72,1498,108.4,5,14.86,9.575625
"750","Pune",2016,47000,"Diesel","Automatic","First",21.72,1498,108.4,5,15.11,9.575625
"757","Bangalore",2016,56839,"Diesel","Automatic","First",19.6,1461,108.45,5,15.05,8.28857142857143
"762","Pune",2014,75000,"Diesel","Manual","First",19.64,1461,108.5,5,16.82,6.41109677419355
"763","Chennai",2015,54000,"Diesel","Manual","Second",19.64,1461,108.5,5,17,8.28857142857143
"764","Chennai",2015,119258,"Diesel","Manual","First",20.64,1498,108.5,5,14.32,9.575625
"765","Delhi",2012,53226,"Diesel","Manual","Second",20.64,1498,108.5,5,14.13,6.41109677419355
"766","Jaipur",2016,57669,"Diesel","Automatic","First",21.5,1498,108.5,5,16.64,9.575625
"768","Mumbai",2018,4708,"Diesel","Manual","First",21.66,1498,108.62,5,9.4,6.55229452054795
"769","Coimbatore",2017,23389,"Diesel","Manual","First",21.66,1498,108.62,5,10.13,6.55229452054795
"787","Coimbatore",2017,26002,"Diesel","Automatic","First",20.7,1496,113.98,4,36.5,26.4796875
"788","Mumbai",2015,20000,"Diesel","Automatic","First",20.7,1496,113.98,4,35,21.42
"802","Hyderabad",2017,11934,"Petrol","Automatic","First",18,1497,117.3,5,16.94,11.7938461538461
"803","Coimbatore",2018,31542,"Petrol","Manual","First",17.4,1497,117.3,5,12.68,8.52451807228916
"804","Coimbatore",2017,14052,"Petrol","Automatic","First",16,1497,117.3,7,15.73,11.7938461538461
"805","Coimbatore",2017,14519,"Petrol","Manual","First",15.4,1497,117.3,7,15.55,11.7938461538461
"839","Mumbai",2012,26000,"Petrol","Automatic","Second",14.8,1595,120.69,5,37.03,18.2403333333333
"842","Kochi",2018,36471,"Petrol","Automatic","First",14.8,1591,121.3,5,15.93,11.7938461538461
"856","Mumbai",2018,18980,"Petrol","Automatic","First",17,1591,121.3,5,15.14,11.7938461538461
"857","Delhi",2014,70428,"Petrol","Manual","First",17,1591,121.3,5,11.47,5.13807692307693
"858","Kochi",2017,39015,"Petrol","Manual","First",17,1497,121.36,5,8.79,6.55229452054795
"883","Pune",2015,85000,"Diesel","Automatic","First",17.6,1582,126.2,5,18.32,11.7938461538461
"884","Kolkata",2018,15000,"Diesel","Manual","First",20.5,1582,126.2,5,15.24,11.7938461538461
"887","Mumbai",2013,95000,"Diesel","Manual","First",22.54,1582,126.2,5,20.69,12.178
"889","Mumbai",2013,66000,"Diesel","Automatic","Second",22,1582,126.2,5,15.88,6.41109677419355
"890","Mumbai",2017,28000,"Diesel","Manual","First",22,1582,126.2,5,15.57,9.575625
"914","Kochi",2012,77801,"Petrol","Manual","First",14.28,1798,138.03,5,19.01,6.41109677419355
"949","Ahmedabad",2018,34000,"Diesel","Manual","First",21,1968,141,5,23.29,18.2631690140845
"965","Coimbatore",2018,53190,"Diesel","Automatic","First",18.51,1968,147.51,5,44.8,26.4796875
"967","Hyderabad",2017,65896,"Diesel","Manual","First",13.68,2393,147.8,7,25.04,18.2631690140845
"968","Mumbai",2017,34000,"Diesel","Manual","First",13.68,2393,147.8,7,25.27,18.2631690140845
"970","Coimbatore",2017,103189,"Diesel","Manual","First",13.68,2393,147.8,8,24.01,18.2631690140845
"976","Kochi",2018,21127,"Petrol","Automatic","First",14.62,1999,149.92,5,21.77,18.2631690140845
"991","Mumbai",2018,6000,"Petrol","Manual","First",16,1368,160,5,18.16,8.28857142857143
"1022","Coimbatore",2019,5752,"Diesel","Manual","First",16.3,1956,170,5,27.56,18.2631690140845
"1023","Kolkata",2017,10000,"Diesel","Manual","First",17.1,1956,170,5,20.01,11.7938461538461
"1024","Delhi",2017,13000,"Diesel","Manual","First",17.1,1956,170,5,19.72,11.7938461538461
"1026","Coimbatore",2019,29566,"Diesel","Automatic","First",17.9,2143,170,5,49.12,35.3142682926829
"1027","Kochi",2017,34848,"Diesel","Automatic","First",17.9,2143,170,5,63.47,35.3142682926829
"1040","Delhi",2016,10000,"Diesel","Automatic","First",11.36,2755,171.5,7,20.74,18.2631690140845
"1041","Jaipur",2017,27270,"Diesel","Automatic","First",11.36,2755,171.5,7,26.14,18.2631690140845
"1042","Mumbai",2018,23000,"Diesel","Automatic","First",11.36,2755,171.5,8,21,18.2631690140845
"1066","Mumbai",2017,24000,"Diesel","Automatic","First",18.19,1968,174.5,5,40.73,26.4796875
"1067","Mumbai",2017,27000,"Diesel","Automatic","First",18.19,1968,174.5,5,40.73,26.4796875
"1068","Mumbai",2012,126000,"Diesel","Manual","First",14.24,2755,174.5,7,35.16,12.178
"1069","Coimbatore",2018,41502,"Diesel","Automatic","First",13.5,2477,175.56,7,34.1,26.4796875
"1070","Coimbatore",2015,76115,"Diesel","Automatic","First",13.5,2477,175.56,7,32.41,21.42
"1071","Coimbatore",2016,63961,"Diesel","Automatic","First",13.5,2477,175.56,7,34.1,26.4796875
"1072","Bangalore",2015,58000,"Diesel","Automatic","First",13.5,2477,175.56,7,34.1,21.42
"1073","Ahmedabad",2014,75000,"Diesel","Automatic","First",13.5,2477,175.56,7,32.41,21.42
"1074","Mumbai",2015,52000,"Diesel","Automatic","First",13.5,2477,175.56,7,32.62,21.42
"1075","Delhi",2013,70655,"Diesel","Manual","First",13.5,2477,175.56,7,31.93,12.178
"1076","Ahmedabad",2016,16000,"Petrol","Automatic","First",19.16,2487,175.67,5,40.62,26.4796875
"1079","Pune",2018,24001,"Diesel","Automatic","First",13.6,1999,177,5,52.96,35.3142682926829
"1080","Mumbai",2016,71000,"Petrol","Automatic","First",14.67,1798,177.46,5,33.36,26.4796875
"1081","Kochi",2011,72734,"Petrol","Automatic","Second",14.67,1798,177.46,5,33.36,11.503949044586
"1093","Ahmedabad",2015,75000,"Diesel","Automatic","First",15.17,1968,181,5,43.65,21.42
"1096","Ahmedabad",2017,25000,"Diesel","Automatic","First",16.38,1995,182.46,5,29.9,18.2631690140845
"1115","Coimbatore",2016,60249,"Diesel","Automatic","First",18.25,1968,187.74,5,53.14,28.9963358778626
"1116","Hyderabad",2015,59000,"Diesel","Automatic","First",18.25,1968,187.74,5,55.61,28.9963358778626
"1118","Hyderabad",2011,71000,"Diesel","Automatic","First",18.53,1968,187.74,5,67.1,11.503949044586
"1121","Coimbatore",2018,25038,"Diesel","Automatic","First",21.76,1995,190,5,62.07,35.3142682926829
"1122","Coimbatore",2017,22574,"Diesel","Automatic","First",21.76,1995,190,5,62.07,35.3142682926829
"1128","Mumbai",2012,66889,"Diesel","Automatic","First",22.48,1995,190,5,70.43,18.2403333333333
"1129","Kochi",2016,55615,"Diesel","Automatic","First",22.48,1995,190,5,67.87,28.9963358778626
"1131","Delhi",2017,15000,"Petrol","Automatic","First",12.6,1950,191.34,5,86.97,49.183947368421
"1132","Pune",2017,2890,"Petrol","Manual","First",13.8,1998,192,5,44.59,26.4796875
"1139","Delhi",2016,21000,"Diesel","Automatic","First",17.9,2143,201.15,5,77.92,49.183947368421
"1178","Coimbatore",2018,14730,"Petrol","Automatic","First",13.5,1999,246.74,5,56.98,55.1442857142857
"1179","Kolkata",2017,18366,"Petrol","Automatic","First",10.8,1997,246.74,5,66.71,55.1442857142857
"1180","Kolkata",2011,30342,"Petrol","Automatic","First",15.56,1998,252,5,59.12,31.5527192982456
"1181","Hyderabad",2016,50000,"Diesel","Automatic","First",11.57,2987,254.79,5,92.01,55.1442857142857
"1191","Chennai",2017,16000,"Diesel","Automatic","First",16.77,2993,261.49,5,1.58,58.7694117647059
"1199","Coimbatore",2018,18338,"Petrol","Automatic","First",19,2996,362.07,2,1.06,58.7694117647059
"1202","Bangalore",2008,31200,"Petrol","Automatic","Second",10.2,5998,616,5,3.75,58.7694117647059
"1","Pune",2013,153000,"Petrol","Manual","First",16.8,796,34.2,5,5.05769230769231,2.97155
"2","Bangalore",2005,81245,"Petrol","Manual","Fourth & Above",16.8,796,34.2,8,5.05769230769231,1.75543252595156
"3","Hyderabad",2012,25183,"Petrol","Manual","First",26,624,35,4,5.05769230769231,2.85541446208113
"4","Coimbatore",2016,63617,"Petrol","Manual","First",14,796,35,5,5.05769230769231,2.97155
"5","Hyderabad",2004,82000,"Petrol","Manual","Second",16.1,796,37,4,5.05769230769231,1.75543252595156
"6","Kolkata",2009,9999,"Petrol","Manual","First",16.1,796,37,4,5.05769230769231,1.75543252595156
"7","Jaipur",2000,75000,"Petrol","Manual","First",16.1,796,37,4,5.05769230769231,1.75543252595156
"8","Ahmedabad",2013,35000,"Petrol","Manual","First",25.4,624,37.48,4,5.05769230769231,2.97155
"9","Delhi",2015,20047,"Petrol","Manual","First",23.9,624,37.48,4,5.05769230769231,2.97155
"10","Bangalore",2016,14000,"Petrol","Manual","Fourth & Above",23.9,624,37.48,4,5.05769230769231,2.97155
"11","Coimbatore",2017,31176,"Petrol","Automatic","First",21.9,624,37.48,4,5.05769230769231,2.97155
"12","Coimbatore",2016,53590,"Petrol","Automatic","First",21.9,624,37.48,4,5.05769230769231,2.97155
"13","Pune",2006,93500,"Petrol","Manual","Second",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"14","Pune",2004,70332,"Petrol","Manual","Third",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"15","Coimbatore",2008,86033,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"16","Coimbatore",2012,64631,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"17","Jaipur",2013,40000,"Petrol","Manual","Second",19.7,796,46.3,5,5.05769230769231,2.97155
"18","Pune",2004,72135,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"19","Chennai",2011,60000,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"20","Chennai",2010,94385,"Petrol","Manual","Second",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"21","Jaipur",2008,65000,"Petrol","Manual","Second",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"22","Hyderabad",2010,54486,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"23","Jaipur",2011,90000,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"24","Kolkata",2008,39008,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"25","Hyderabad",2009,62659,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"26","Jaipur",2006,75000,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"27","Ahmedabad",2007,45000,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,1.75543252595156
"28","Hyderabad",2011,63528,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"29","Kochi",2011,66287,"Petrol","Manual","First",19.7,796,46.3,5,5.05769230769231,2.85541446208113
"30","Bangalore",2015,17000,"Diesel","Manual","Second",27.62,793,47,5,5.05769230769231,2.97155
"31","Coimbatore",2013,54493,"Petrol","Manual","Second",24.7,796,47.3,5,5.05769230769231,2.97155
"32","Kochi",2017,36701,"Petrol","Manual","First",24.7,796,47.3,5,5.05769230769231,2.97155
"33","Kochi",2019,3413,"Petrol","Manual","First",24.7,796,47.3,5,5.05769230769231,2.97155
"34","Mumbai",2018,1001,"Petrol","Manual","First",24.7,796,47.3,5,5.05769230769231,2.97155
"35","Kolkata",2017,68000,"Petrol","Manual","First",24.7,796,47.3,5,5.05769230769231,2.97155
"36","Kochi",2015,48913,"Petrol","Manual","First",24.7,796,47.3,5,5.05769230769231,2.97155
"37","Ahmedabad",2014,68000,"Petrol","Manual","First",24.7,796,47.3,5,5.05769230769231,2.97155
"38","Kolkata",2013,14311,"CNG","Manual","First",30.46,796,47.3,5,5.05769230769231,2.97155
"39","Kolkata",2017,5000,"Petrol","Manual","First",22.74,796,47.3,5,5.05769230769231,2.97155
"40","Coimbatore",2016,59491,"Petrol","Manual","First",22.74,796,47.3,5,5.05769230769231,2.97155
"41","Pune",2015,35000,"Petrol","Manual","First",22.74,796,47.3,5,5.05769230769231,2.97155
"43","Pune",2017,50000,"Diesel","Manual","First",17.88,1405,48.21,5,15.0871428571429,2.97155
"48","Jaipur",2012,42285,"Petrol","Manual","First",22,814,55,5,5.05769230769231,2.85541446208113
"49","Coimbatore",2015,36933,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"50","Hyderabad",2014,15322,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"51","Coimbatore",2015,21190,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"52","Kolkata",2018,54000,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"53","Kolkata",2011,24000,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.85541446208113
"54","Pune",2012,36317,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.85541446208113
"55","Jaipur",2013,65000,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"56","Delhi",2013,35373,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"57","Coimbatore",2016,47924,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"58","Mumbai",2015,8300,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"59","Jaipur",2013,60000,"Petrol","Manual","Second",21.1,814,55.2,5,5.05769230769231,2.97155
"60","Kolkata",2013,69000,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"61","Jaipur",2015,43000,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"62","Kolkata",2017,4000,"Petrol","Manual","First",21.1,814,55.2,5,5.05769230769231,2.97155
"63","Coimbatore",2016,68673,"Diesel","Manual","First",25.44,936,56.3,5,5.05769230769231,2.97155
"64","Kolkata",2013,76000,"Diesel","Manual","First",25.44,936,56.3,5,5.05769230769231,2.97155
"65","Jaipur",2009,87829,"LPG","Manual","First",17.3,1061,57.5,5,5.05769230769231,1.75543252595156
"66","Chennai",2011,63000,"Diesel","Manual","First",25.44,936,57.6,5,5.05769230769231,2.85541446208113
"67","Jaipur",2013,81000,"Diesel","Manual","First",25.44,936,57.6,5,5.05769230769231,2.97155
"68","Delhi",2014,40929,"CNG","Manual","First",32.26,998,58.2,4,5.05769230769231,3.94681318681319
"69","Kochi",2015,47490,"CNG","Manual","First",32.26,998,58.2,4,5.05769230769231,3.94681318681319
"71","Mumbai",2005,35000,"Petrol","Manual","First",15.3,1341,61,5,15.0871428571429,1.75543252595156
"72","Pune",2007,113000,"Petrol","Manual","First",18,995,62,5,5.05769230769231,1.75543252595156
"73","Bangalore",2008,85142,"Petrol","Manual","Second",18,995,62,5,5.05769230769231,1.75543252595156
"74","Mumbai",2007,40000,"Petrol","Manual","First",18,995,62,5,5.05769230769231,1.75543252595156
"75","Pune",2012,58061,"Petrol","Manual","First",18,995,62,5,5.05769230769231,2.85541446208113
"76","Ahmedabad",2013,63831,"Petrol","Manual","First",0,1086,62,5,5.05769230769231,3.94681318681319
"77","Ahmedabad",2007,78000,"Petrol","Manual","First",0,1086,62,5,5.05769230769231,1.75543252595156
"78","Ahmedabad",2014,41000,"Petrol","Manual","First",0,1086,62,5,5.05769230769231,3.94681318681319
"79","Kolkata",2012,102000,"Petrol","Manual","First",17.92,1086,62.1,5,5.05769230769231,2.85541446208113
"80","Kolkata",2009,62261,"Petrol","Manual","First",17.92,1086,62.1,5,5.05769230769231,1.75543252595156
"81","Mumbai",2008,65000,"Petrol","Manual","Second",17.92,1086,62.1,5,5.05769230769231,1.75543252595156
"82","Kochi",2015,56967,"Petrol","Manual","First",17.92,1086,62.1,5,5.05769230769231,3.94681318681319
"83","Delhi",2014,67320,"Petrol","Manual","First",17.92,1086,62.1,5,5.05769230769231,3.94681318681319
"84","Hyderabad",2008,44379,"Petrol","Manual","First",17.92,1086,62.1,5,5.05769230769231,1.75543252595156
"85","Coimbatore",2009,61259,"Petrol","Manual","First",17.92,1086,62.1,5,5.05769230769231,1.75543252595156
"86","Bangalore",2011,43985,"CNG","Manual","First",11.88,1086,62.1,5,5.05769230769231,2.85541446208113
"87","Hyderabad",2012,75000,"Diesel","Manual","First",15.96,2523,62.1,7,10.829,2.85541446208113
"91","Jaipur",2010,6512,"Petrol","Manual","First",16,995,63,5,5.05769230769231,2.85541446208113
"92","Coimbatore",2012,72246,"Diesel","Manual","First",13.6,2523,63,7,10.829,2.85541446208113
"93","Hyderabad",2011,67000,"Diesel","Manual","Second",23.08,1461,63.1,5,10.3523684210526,2.85541446208113
"94","Delhi",2012,62100,"Diesel","Manual","First",23.08,1461,63.1,5,10.3523684210526,2.85541446208113
